[1.865] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[2.895] wait_while_flash_busy_bank1():  Flash status busy
[2.895] wait_while_flash_busy_bank1():  Flash status busy
[2.896] wait_while_flash_busy_bank1():  Flash status busy
[2.896] wait_while_flash_busy_bank1():  Flash status busy
[2.896] wait_while_flash_busy_bank1():  Flash status busy
[2.897] wait_while_flash_busy_bank1():  Flash status busy
[2.897] wait_while_flash_busy_bank1():  Flash status busy
[2.900] wait_while_flash_busy_bank1():  Flash status busy
[2.902] wait_while_flash_busy_bank1():  Flash status busy
[2.903] wait_while_flash_busy_bank1():  Flash status busy
[2.903] wait_while_flash_busy_bank1():  Flash status busy
[2.904] wait_while_flash_busy_bank1():  Flash status busy
[2.904] wait_while_flash_busy_bank1():  Flash status busy
[2.905] wait_while_flash_busy_bank1():  Flash status busy
[2.905] wait_while_flash_busy_bank1():  Flash status busy
[2.906] wait_while_flash_busy_bank1():  FuncExit
[2.906] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.906] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.907] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.908] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.909] wait_while_flash_busy_bank1():  FuncEntry
[2.910] wait_while_flash_busy_bank1():  Flash status busy
[2.910] wait_while_flash_busy_bank1():  Flash status busy
[2.910] wait_while_flash_busy_bank1():  Flash status busy
[2.911] wait_while_flash_busy_bank1():  Flash status busy
[2.911] wait_while_flash_busy_bank1():  Flash status busy
[2.911] wait_while_flash_busy_bank1():  Flash status busy
[2.912] wait_while_flash_busy_bank1():  Flash status busy
[2.912] wait_while_flash_busy_bank1():  Flash status busy
[2.913] wait_while_flash_busy_bank1():  Flash status busy
[2.913] wait_while_flash_busy_bank1():  Flash status busy
[2.914] wait_while_flash_busy_bank1():  Flash status busy
[2.914] wait_while_flash_busy_bank1():  Flash status busy
[2.915] wait_while_flash_busy_bank1():  Flash status busy
[2.917] wait_while_flash_busy_bank1():  Flash status busy
[2.918] wait_while_flash_busy_bank1():  Flash status busy
[2.918] wait_while_flash_busy_bank1():  Flash status busy
[2.919] wait_while_flash_busy_bank1():  Flash status busy
[2.919] wait_while_flash_busy_bank1():  Flash status busy
[2.920] wait_while_flash_busy_bank1():  Flash status busy
[2.920] wait_while_flash_busy_bank1():  Flash status busy
[2.921] wait_while_flash_busy_bank1():  Flash status busy
[2.921] wait_while_flash_busy_bank1():  Flash status busy
[2.922] wait_while_flash_busy_bank1():  Flash status busy
[2.922] wait_while_flash_busy_bank1():  Flash status busy
[2.923] wait_while_flash_busy_bank1():  Flash status busy
[2.923] wait_while_flash_busy_bank1():  Flash status busy
[2.923] wait_while_flash_busy_bank1():  Flash status busy
[2.924] wait_while_flash_busy_bank1():  Flash status busy
[2.925] wait_while_flash_busy_bank1():  Flash status busy
[2.925] wait_while_flash_busy_bank1():  Flash status busy
[2.926] wait_while_flash_busy_bank1():  Flash status busy
[2.926] wait_while_flash_busy_bank1():  Flash status busy
[2.926] wait_while_flash_busy_bank1():  Flash status busy
[2.927] wait_while_flash_busy_bank1():  Flash status busy
[2.927] wait_while_flash_busy_bank1():  Flash status busy
[2.927] wait_while_flash_busy_bank1():  Flash status busy
[2.928] wait_while_flash_busy_bank1():  Flash status busy
[2.928] wait_while_flash_busy_bank1():  Flash status busy
[2.928] wait_while_flash_busy_bank1():  Flash status busy
[2.929] wait_while_flash_busy_bank1():  Flash status busy
[2.929] wait_while_flash_busy_bank1():  Flash status busy
[2.930] wait_while_flash_busy_bank1():  Flash status busy
[2.931] wait_while_flash_busy_bank1():  Flash status busy
[2.931] wait_while_flash_busy_bank1():  Flash status busy
[2.932] wait_while_flash_busy_bank1():  FuncExit
[2.932] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.933] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.934] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.935] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.936] wait_while_flash_busy_bank1():  FuncEntry
[2.936] wait_while_flash_busy_bank1():  Flash status busy
[2.937] wait_while_flash_busy_bank1():  Flash status busy
[2.937] wait_while_flash_busy_bank1():  Flash status busy
[2.938] wait_while_flash_busy_bank1():  Flash status busy
[2.938] wait_while_flash_busy_bank1():  Flash status busy
[2.939] wait_while_flash_busy_bank1():  Flash status busy
[2.940] wait_while_flash_busy_bank1():  Flash status busy
[2.941] wait_while_flash_busy_bank1():  Flash status busy
[2.943] wait_while_flash_busy_bank1():  Flash status busy
[2.943] wait_while_flash_busy_bank1():  Flash status busy
[2.944] wait_while_flash_busy_bank1():  Flash status busy
[2.944] wait_while_flash_busy_bank1():  Flash status busy
[2.945] wait_while_flash_busy_bank1():  Flash status busy
[2.945] wait_while_flash_busy_bank1():  Flash status busy
[2.946] wait_while_flash_busy_bank1():  Flash status busy
[2.946] wait_while_flash_busy_bank1():  Flash status busy
[2.946] wait_while_flash_busy_bank1():  Flash status busy
[2.947] wait_while_flash_busy_bank1():  Flash status busy
[2.947] wait_while_flash_busy_bank1():  Flash status busy
[2.947] wait_while_flash_busy_bank1():  Flash status busy
[2.948] wait_while_flash_busy_bank1():  Flash status busy
[2.948] wait_while_flash_busy_bank1():  Flash status busy
[2.949] wait_while_flash_busy_bank1():  Flash status busy
[2.949] wait_while_flash_busy_bank1():  Flash status busy
[2.950] wait_while_flash_busy_bank1():  Flash status busy
[2.951] wait_while_flash_busy_bank1():  Flash status busy
[2.951] wait_while_flash_busy_bank1():  Flash status busy
[2.952] wait_while_flash_busy_bank1():  Flash status busy
[2.952] wait_while_flash_busy_bank1():  Flash status busy
[2.953] wait_while_flash_busy_bank1():  Flash status busy
[2.953] wait_while_flash_busy_bank1():  Flash status busy
[2.954] wait_while_flash_busy_bank1():  Flash status busy
[2.954] wait_while_flash_busy_bank1():  Flash status busy
[2.954] wait_while_flash_busy_bank1():  Flash status busy
[2.955] wait_while_flash_busy_bank1():  Flash status busy
[2.955] wait_while_flash_busy_bank1():  Flash status busy
[2.956] wait_while_flash_busy_bank1():  Flash status busy
[2.956] wait_while_flash_busy_bank1():  Flash status busy
[2.956] wait_while_flash_busy_bank1():  Flash status busy
[2.957] wait_while_flash_busy_bank1():  Flash status busy
[2.957] wait_while_flash_busy_bank1():  Flash status busy
[2.957] wait_while_flash_busy_bank1():  Flash status busy
[2.958] wait_while_flash_busy_bank1():  Flash status busy
[2.958] wait_while_flash_busy_bank1():  FuncExit
[2.958] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.959] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.959] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.960] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.961] wait_while_flash_busy_bank1():  FuncEntry
[2.962] wait_while_flash_busy_bank1():  Flash status busy
[2.962] wait_while_flash_busy_bank1():  Flash status busy
[2.962] wait_while_flash_busy_bank1():  Flash status busy
[2.962] wait_while_flash_busy_bank1():  Flash status busy
[2.963] wait_while_flash_busy_bank1():  Flash status busy
[2.963] wait_while_flash_busy_bank1():  Flash status busy
[2.963] wait_while_flash_busy_bank1():  Flash status busy
[2.964] wait_while_flash_busy_bank1():  Flash status busy
[2.964] wait_while_flash_busy_bank1():  Flash status busy
[2.965] wait_while_flash_busy_bank1():  Flash status busy
[2.965] wait_while_flash_busy_bank1():  Flash status busy
[2.966] wait_while_flash_busy_bank1():  Flash status busy
[2.966] wait_while_flash_busy_bank1():  Flash status busy
[2.967] wait_while_flash_busy_bank1():  Flash status busy
[2.967] wait_while_flash_busy_bank1():  Flash status busy
[2.967] wait_while_flash_busy_bank1():  Flash status busy
[2.968] wait_while_flash_busy_bank1():  Flash status busy
[2.968] wait_while_flash_busy_bank1():  Flash status busy
[2.969] wait_while_flash_busy_bank1():  Flash status busy
[2.969] wait_while_flash_busy_bank1():  Flash status busy
[2.969] wait_while_flash_busy_bank1():  Flash status busy
[2.972] wait_while_flash_busy_bank1():  Flash status busy
[2.972] wait_while_flash_busy_bank1():  Flash status busy
[2.973] wait_while_flash_busy_bank1():  Flash status busy
[2.973] wait_while_flash_busy_bank1():  Flash status busy
[2.973] wait_while_flash_busy_bank1():  Flash status busy
[2.974] wait_while_flash_busy_bank1():  Flash status busy
[2.974] wait_while_flash_busy_bank1():  Flash status busy
[2.975] wait_while_flash_busy_bank1():  Flash status busy
[2.975] wait_while_flash_busy_bank1():  Flash status busy
[2.975] wait_while_flash_busy_bank1():  Flash status busy
[2.976] wait_while_flash_busy_bank1():  Flash status busy
[2.976] wait_while_flash_busy_bank1():  Flash status busy
[2.976] wait_while_flash_busy_bank1():  Flash status busy
[2.977] wait_while_flash_busy_bank1():  Flash status busy
[2.977] wait_while_flash_busy_bank1():  Flash status busy
[2.978] wait_while_flash_busy_bank1():  Flash status busy
[2.978] wait_while_flash_busy_bank1():  Flash status busy
[2.978] wait_while_flash_busy_bank1():  Flash status busy
[2.979] wait_while_flash_busy_bank1():  Flash status busy
[2.979] wait_while_flash_busy_bank1():  Flash status busy
[2.980] wait_while_flash_busy_bank1():  Flash status busy
[2.980] wait_while_flash_busy_bank1():  Flash status busy
[2.980] wait_while_flash_busy_bank1():  Flash status busy
[2.981] wait_while_flash_busy_bank1():  Flash status busy
[2.981] wait_while_flash_busy_bank1():  Flash status busy
[2.982] wait_while_flash_busy_bank1():  Flash status busy
[2.983] wait_while_flash_busy_bank1():  Flash status busy
[2.983] wait_while_flash_busy_bank1():  FuncExit
[2.983] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.984] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.984] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.985] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.986] wait_while_flash_busy_bank1():  FuncEntry
[2.987] wait_while_flash_busy_bank1():  Flash status busy
[2.987] wait_while_flash_busy_bank1():  Flash status busy
[2.987] wait_while_flash_busy_bank1():  Flash status busy
[2.988] wait_while_flash_busy_bank1():  Flash status busy
[2.988] wait_while_flash_busy_bank1():  Flash status busy
[2.989] wait_while_flash_busy_bank1():  Flash status busy
[2.989] wait_while_flash_busy_bank1():  Flash status busy
[2.989] wait_while_flash_busy_bank1():  Flash status busy
[2.990] wait_while_flash_busy_bank1():  Flash status busy
[2.990] wait_while_flash_busy_bank1():  Flash status busy
[2.990] wait_while_flash_busy_bank1():  Flash status busy
[2.991] wait_while_flash_busy_bank1():  Flash status busy
[2.991] wait_while_flash_busy_bank1():  Flash status busy
[2.991] wait_while_flash_busy_bank1():  Flash status busy
[2.992] wait_while_flash_busy_bank1():  Flash status busy
[2.992] wait_while_flash_busy_bank1():  Flash status busy
[2.992] wait_while_flash_busy_bank1():  Flash status busy
[2.993] wait_while_flash_busy_bank1():  Flash status busy
[2.993] wait_while_flash_busy_bank1():  Flash status busy
[2.994] wait_while_flash_busy_bank1():  Flash status busy
[2.994] wait_while_flash_busy_bank1():  Flash status busy
[2.994] wait_while_flash_busy_bank1():  Flash status busy
[2.995] wait_while_flash_busy_bank1():  Flash status busy
[2.995] wait_while_flash_busy_bank1():  Flash status busy
[2.995] wait_while_flash_busy_bank1():  Flash status busy
[2.996] wait_while_flash_busy_bank1():  Flash status busy
[2.996] wait_while_flash_busy_bank1():  Flash status busy
[2.996] wait_while_flash_busy_bank1():  Flash status busy
[2.997] wait_while_flash_busy_bank1():  Flash status busy
[2.997] wait_while_flash_busy_bank1():  Flash status busy
[2.998] wait_while_flash_busy_bank1():  Flash status busy
[2.998] wait_while_flash_busy_bank1():  Flash status busy
[2.999] wait_while_flash_busy_bank1():  Flash status busy
[3.001] wait_while_flash_busy_bank1():  Flash status busy
[3.002] wait_while_flash_busy_bank1():  Flash status busy
[3.002] wait_while_flash_busy_bank1():  Flash status busy
[3.003] wait_while_flash_busy_bank1():  Flash status busy
[3.003] wait_while_flash_busy_bank1():  Flash status busy
[3.004] wait_while_flash_busy_bank1():  Flash status busy
[3.004] wait_while_flash_busy_bank1():  Flash status busy
[3.005] wait_while_flash_busy_bank1():  Flash status busy
[3.005] wait_while_flash_busy_bank1():  Flash status busy
[3.005] wait_while_flash_busy_bank1():  Flash status busy
[3.006] wait_while_flash_busy_bank1():  Flash status busy
[3.006] wait_while_flash_busy_bank1():  Flash status busy
[3.007] wait_while_flash_busy_bank1():  Flash status busy
[3.007] wait_while_flash_busy_bank1():  Flash status busy
[3.007] wait_while_flash_busy_bank1():  Flash status busy
[3.008] wait_while_flash_busy_bank1():  Flash status busy
[3.008] wait_while_flash_busy_bank1():  Flash status busy
[3.009] wait_while_flash_busy_bank1():  FuncExit
[3.009] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.009] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.009] flash_page_erase():  FuncExit
[3.010] handleFlashPacket():  Flash write: Address= 0x8000000, Length=392 
[3.010] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.011] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.011] program_flash_memory():  FuncEntry
[3.076]  program_flash_memory():  Programming flash.. 
[3.076]  program_flash_memory():  Programming flash..DONE 
[3.080]  program_flash_memory():  STM32 device: flash programming successful 8000000 
[3.080] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.081] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.081] program_flash_memory():  FuncExit
[3.081] get_flash_error_status():  FuncEntry
[3.081] wait_while_flash_busy_bank1():  FuncEntry
[3.081] wait_while_flash_busy_bank1():  FuncExit
[3.082] get_flash_error_status():  FuncExit
[3.082] handleFlashPacket():  Flash write completed in 0.072000 seconds, 5.316841kB/s
[3.083] handleFlashPacket():  Flash write: Address= 0x8000188, Length=2984 
[3.084] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.085] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.085] program_flash_memory():  FuncEntry
[3.204]  program_flash_memory():  Programming flash.. 
[3.255]  program_flash_memory():  Programming flash.. 
[3.255]  program_flash_memory():  Programming flash..DONE 
[3.283]  program_flash_memory():  STM32 device: flash programming successful 8000188 
[3.283] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.284] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.284] program_flash_memory():  FuncExit
[3.284] get_flash_error_status():  FuncEntry
[3.284] wait_while_flash_busy_bank1():  FuncEntry
[3.285] wait_while_flash_busy_bank1():  FuncExit
[3.286] get_flash_error_status():  FuncExit
[3.286] handleFlashPacket():  Flash write completed in 0.203000 seconds, 14.354988kB/s
[3.286] handleFlashPacket():  Flash write: Address= 0x8000d30, Length=2960 
[3.286] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.287] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.287] program_flash_memory():  FuncEntry
[3.404]  program_flash_memory():  Programming flash.. 
[3.454]  program_flash_memory():  Programming flash.. 
[3.454]  program_flash_memory():  Programming flash..DONE 
[3.484]  program_flash_memory():  STM32 device: flash programming successful 8000d30 
[3.484] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.485] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.485] program_flash_memory():  FuncExit
[3.485] get_flash_error_status():  FuncEntry
[3.485] wait_while_flash_busy_bank1():  FuncEntry
[3.486] wait_while_flash_busy_bank1():  FuncExit
[3.489] get_flash_error_status():  FuncExit
[3.489] handleFlashPacket():  Flash write completed in 0.203000 seconds, 14.239532kB/s
[3.489] handleFlashPacket():  Flash write: Address= 0x80018c0, Length=2960 
[3.490] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.491] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.491] program_flash_memory():  FuncEntry
[3.613]  program_flash_memory():  Programming flash.. 
[3.663]  program_flash_memory():  Programming flash.. 
[3.664]  program_flash_memory():  Programming flash..DONE 
[3.693]  program_flash_memory():  STM32 device: flash programming successful 80018c0 
[3.693] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.694] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.694] program_flash_memory():  FuncExit
[3.694] get_flash_error_status():  FuncEntry
[3.694] wait_while_flash_busy_bank1():  FuncEntry
[3.695] wait_while_flash_busy_bank1():  FuncExit
[3.696] get_flash_error_status():  FuncExit
[3.696] handleFlashPacket():  Flash write completed in 0.207000 seconds, 13.964372kB/s
[3.696] handleFlashPacket():  Flash write: Address= 0x8002450, Length=2672 
[3.696] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.697] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.697] program_flash_memory():  FuncEntry
[3.816]  program_flash_memory():  Programming flash.. 
[3.867]  program_flash_memory():  Programming flash.. 
[3.867]  program_flash_memory():  Programming flash..DONE 
[3.893]  program_flash_memory():  STM32 device: flash programming successful 8002450 
[3.893] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.893] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.894] program_flash_memory():  FuncExit
[3.894] get_flash_error_status():  FuncEntry
[3.894] wait_while_flash_busy_bank1():  FuncEntry
[3.894] wait_while_flash_busy_bank1():  FuncExit
[3.895] get_flash_error_status():  FuncExit
[3.895] handleFlashPacket():  Flash write completed in 0.199000 seconds, 13.112437kB/s
[3.895] handleFlashPacket():  Flash write: Address= 0x8002ec0, Length=152 
[3.896] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.897] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.897] program_flash_memory():  FuncEntry
[3.957]  program_flash_memory():  Programming flash.. 
[3.957]  program_flash_memory():  Programming flash..DONE 
[3.959]  program_flash_memory():  STM32 device: flash programming successful 8002ec0 
[3.959] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.960] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.960] program_flash_memory():  FuncExit
[3.960] get_flash_error_status():  FuncEntry
[3.960] wait_while_flash_busy_bank1():  FuncEntry
[3.960] wait_while_flash_busy_bank1():  FuncExit
[3.961] get_flash_error_status():  FuncExit
[3.961] handleFlashPacket():  Flash write completed in 0.066000 seconds, 2.249053kB/s
[3.961] handleFlashPacket():  Flash write: Address= 0x8002f58, Length=4 
[3.962] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[3.963] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[3.963] program_flash_memory():  FuncEntry
[4.019]  program_flash_memory():  Programming flash.. 
[4.019]  program_flash_memory():  Programming flash..DONE 
[4.019]  program_flash_memory():  STM32 device: flash programming successful 8002f58 
[4.019] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[4.020] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[4.020] program_flash_memory():  FuncExit
[4.020] get_flash_error_status():  FuncEntry
[4.020] wait_while_flash_busy_bank1():  FuncEntry
[4.021] wait_while_flash_busy_bank1():  FuncExit
[4.021] get_flash_error_status():  FuncExit
[4.021] handleFlashPacket():  Flash write completed in 0.060000 seconds, 0.065104kB/s
[4.022] handleFlashPacket():  Flash write: Address= 0x8002f5c, Length=4 
[4.022] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[4.023] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[4.023] program_flash_memory():  FuncEntry
[4.082]  program_flash_memory():  Programming flash.. 
[4.082]  program_flash_memory():  Programming flash..DONE 
[4.082]  program_flash_memory():  STM32 device: flash programming successful 8002f5c 
[4.082] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[4.083] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[4.083] program_flash_memory():  FuncExit
[4.083] get_flash_error_status():  FuncEntry
[4.083] wait_while_flash_busy_bank1():  FuncEntry
[4.084] wait_while_flash_busy_bank1():  FuncExit
[4.085] get_flash_error_status():  FuncExit
[4.085] handleFlashPacket():  Flash write completed in 0.063000 seconds, 0.062004kB/s
[4.085] handleFlashPacket():  Flash write: Address= 0x8002f60, Length=4 
[4.085] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[4.087] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[4.087] program_flash_memory():  FuncEntry
[4.144]  program_flash_memory():  Programming flash.. 
[4.144]  program_flash_memory():  Programming flash..DONE 
[4.145]  program_flash_memory():  STM32 device: flash programming successful 8002f60 
[4.145] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[4.146] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[4.146] program_flash_memory():  FuncExit
[4.146] get_flash_error_status():  FuncEntry
[4.146] wait_while_flash_busy_bank1():  FuncEntry
[4.146] wait_while_flash_busy_bank1():  FuncExit
[4.147] get_flash_error_status():  FuncExit
[4.147] handleFlashPacket():  Flash write completed in 0.062000 seconds, 0.063004kB/s
[4.147] STM32_AppReset():  Enter STM32_AppReset() function 
[4.255] STM32_AppReset():  NVIC_DFSR_REG = 0x00000009
[4.256] STM32_AppReset():  NVIC_CFGFSR_REG = 0x00000000
[4.257] STM32_AppReset():  XPSR = 0x01000000
[4.259] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[4.260] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002a64 
[4.261] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[4.263] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002e0c 
[4.263] handlePacket():  Reading 0x4 bytes of memory from addr 0xe0042004 
[4.278] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002e0c 
[4.280] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[4.281] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002a64 
[4.282] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[4.282] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002a64 
[4.283] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[4.287] performContinue():  TraceCaptureStart and SWV event set to APP_TRUE 
[4.393] handleGDBConnection():  TraceCaptureStart and SWV event set to APP_FALSE 
[4.398] Device_GetHaltReason():  NVIC_DFSR_REG = 0x00000002 
[4.411] handlePacket():  Reading 0x4 bytes of memory from addr 0x80027da 
[4.414] handlePacket():  Reading 0x4 bytes of memory from addr 0x80027da 
[4.715] handlePacket():  Reading 0x40 bytes of memory from addr 0x80027c0 
[4.734] handlePacket():  Reading 0x40 bytes of memory from addr 0x8002800 
[6.484] performContinue():  TraceCaptureStart and SWV event set to APP_TRUE 
[6.590] Device_GetStatus():  ST_LINK device status: RUN_MODE
